beam,family,order,regime,metric,psd_a,psd_b,difference_a_minus_b,relative_difference_percent,ci95_lower,ci95_upper,ci_excludes_zero
BG02,BG,2,moderate,entropy,von_karman,kolmogorov,-0.012931547962382828,-3.0939018433086884,-0.015765127378637334,-0.01011337273560245,True
BG02,BG,2,moderate,retention,modified_von_karman,von_karman,0.0034631196156882926,2.1627286777445343,-0.004675214148640528,0.011992447777493418,False
BG02,BG,2,moderate,spread,modified_von_karman,von_karman,-0.9450030256936133,-19.221659247316936,-0.978890077230459,-0.9119100408413222,True
BG02,BG,2,moderate,entropy,modified_von_karman,von_karman,-0.00874167007568305,-2.158237927994662,-0.011542526160870023,-0.005889564810579048,True
BG02,BG,2,moderate,retention,modified_von_karman,kolmogorov,0.02340050765532639,16.692002205774017,0.01581116977853735,0.03114910820427643,True
BG02,BG,2,moderate,spread,modified_von_karman,kolmogorov,-1.1104247468004882,-21.851156758157323,-1.149777232719338,-1.0716762441755494,True
BG02,BG,2,moderate,entropy,modified_von_karman,kolmogorov,-0.021673218038065878,-5.185366008266137,-0.02454802753615547,-0.01872704049415027,True
BG02,BG,2,strong,retention,von_karman,kolmogorov,0.0025673284709187977,7.171522208698345,0.0015142692087364376,0.003592475094727253,True
BG02,BG,2,strong,spread,von_karman,kolmogorov,-0.6930541033674338,-3.798031721081893,-0.8370148127761265,-0.5500290823129443,True
BG02,BG,2,strong,entropy,von_karman,kolmogorov,-0.007429913676634481,-1.1229534353801147,-0.009278973981248493,-0.005651464925094981,True
BG02,BG,2,strong,retention,modified_von_karman,von_karman,0.002554720036579139,6.658767107276208,0.0013621562532705246,0.0037152768474979733,True
BG02,BG,2,strong,spread,modified_von_karman,von_karman,-3.651814992942926,-20.80253484011782,-3.7907794056755217,-3.510889900738114,True
BG02,BG,2,strong,entropy,modified_von_karman,von_karman,-0.024365608014981444,-3.724429411589073,-0.02615732083838751,-0.02255740366891044,True
BG02,BG,2,strong,retention,modified_von_karman,kolmogorov,0.005122048507497937,14.307824277898366,0.003985730019071873,0.0062601336236556455,True
BG02,BG,2,strong,spread,modified_von_karman,kolmogorov,-4.34486909631036,-23.810479689182923,-4.497967634164249,-4.193562243209914,True
BG02,BG,2,strong,entropy,modified_von_karman,kolmogorov,-0.031795521691615924,-4.805559238943441,-0.033777604661992006,-0.029869900348742616,True
BG03,BG,3,weak,retention,von_karman,kolmogorov,0.07020953460193757,13.597838564254415,0.05447755761237363,0.08617660669406026,True
BG03,BG,3,weak,spread,von_karman,kolmogorov,-0.050694390069291995,-2.8043629431629378,-0.062390345349008225,-0.03823620741798919,True
BG03,BG,3,weak,entropy,von_karman,kolmogorov,-0.017067711373037697,-7.991327172127764,-0.02122429755405183,-0.012969754427804769,True
BG03,BG,3,weak,retention,modified_von_karman,von_karman,-0.005885571854879257,-1.0034422538568162,-0.02105748880159484,0.009347661361825233,False
BG03,BG,3,weak,spread,modified_von_karman,von_karman,-0.31404744643896354,-17.87404361453769,-0.3257037148129978,-0.3021500378601513,True
BG03,BG,3,weak,entropy,modified_von_karman,von_karman,0.0002987686272567791,0.15203719438737126,-0.003550906661936596,0.004339738675878107,False
BG03,BG,3,weak,retention,modified_von_karman,kolmogorov,0.06432396274705832,12.457949852632634,0.04801110696418815,0.0799140314017656,True
BG03,BG,3,weak,spread,modified_von_karman,kolmogorov,-0.36474183650825553,-20.177153502129748,-0.37785542192551513,-0.35160997615262485,True
BG03,BG,3,weak,entropy,modified_von_karman,kolmogorov,-0.016768942745780918,-7.851439767367211,-0.020803061083520494,-0.012792949186374162,True
BG03,BG,3,moderate,retention,von_karman,kolmogorov,0.017068658249973598,15.145546629577654,0.010760243974206026,0.023279834706570537,True
BG03,BG,3,moderate,spread,von_karman,kolmogorov,-0.18303548850028317,-3.154944683658352,-0.22396343972046723,-0.1436164127031153,True
BG03,BG,3,moderate,entropy,von_karman,kolmogorov,-0.012288090872126123,-2.779572685042901,-0.014984943452569949,-0.009607091890256696,True
BG03,BG,3,moderate,retention,modified_von_karman,von_karman,0.002659893080526665,2.049758062055345,-0.004183007118140447,0.009706674631891427,False
BG03,BG,3,moderate,spread,modified_von_karman,von_karman,-1.0243865829989556,-18.23235953925934,-1.063007696013345,-0.9845219584707621,True
BG03,BG,3,moderate,entropy,modified_von_karman,von_karman,-0.007849434987144077,-1.82630997850971,-0.010481185170104806,-0.0052029817233772545,True
BG03,BG,3,moderate,retention,modified_von_karman,kolmogorov,0.019728551330500263,17.505751754715117,0.013081682298750095,0.026265882599327516,True
BG03,BG,3,moderate,spread,modified_von_karman,kolmogorov,-1.2074220714992387,-20.812083364928352,-1.2521665503391959,-1.1650753081962766,True
BG03,BG,3,moderate,entropy,modified_von_karman,kolmogorov,-0.0201375258592702,-4.555119050245742,-0.022949956891713284,-0.01739046543405768,True
BG03,BG,3,strong,retention,von_karman,kolmogorov,0.0025531921094501912,8.557043369952499,0.0016948304493469581,0.003380618672153299,True
BG03,BG,3,strong,spread,von_karman,kolmogorov,-0.8205205930789496,-4.060207144862814,-0.9782536959906284,-0.6703673291159276,True
BG03,BG,3,strong,entropy,von_karman,kolmogorov,-0.008273868756081715,-1.2108286938208928,-0.009980856273609104,-0.00658711474521627,True
BG03,BG,3,strong,retention,modified_von_karman,von_karman,0.0016981257725626198,5.242664742989831,0.0007587491833023852,0.0026461820806758145,True
BG03,BG,3,strong,spread,modified_von_karman,von_karman,-3.687372213224986,-19.018528340816562,-3.8333648158267484,-3.5429753219957365,True
BG03,BG,3,strong,entropy,modified_von_karman,von_karman,-0.021916601358246135,-3.2466684632619667,-0.023589065603882853,-0.02023608141821402,True
BG03,BG,3,strong,retention,modified_von_karman,kolmogorov,0.004251317882012811,14.248325208741178,0.003373777336151343,0.005134983640723698,True
BG03,BG,3,strong,spread,modified_von_karman,kolmogorov,-4.507892806303936,-22.306543839137785,-4.667482423294093,-4.350318169222595,True
BG03,BG,3,strong,entropy,modified_von_karman,kolmogorov,-0.03019047011432785,-4.41818556373645,-0.03191926780040641,-0.02842006152347355,True
