beam,family,order,psd,regime,n,retention_mean,spread_mean,entropy_mean,beam_wander_m,retention_mean_spectrum,spread_mean_spectrum,entropy_mean_spectrum,entropy_gap,signed_asymmetry,absolute_asymmetry,mean_total_power
LG02,LG,2,modified_von_karman,strong,1750,0.04112191877544178,13.929620429810855,0.630239600273858,0.016476985771460288,0.041121918775441836,14.103591629579025,0.6459687011100484,0.0157291008361905,-0.029111309768617026,0.033430499013264885,1.000000000000008
LG03,LG,3,kolmogorov,weak,1750,0.5277183863597548,1.802341151356697,0.21165543530821443,0.0018735345826151812,0.5277183863597542,1.8130284367469525,0.24013923316971691,0.028483797861502486,-0.0009417766080041826,0.002401192899871484,1.000000000000009
LG03,LG,3,kolmogorov,moderate,1750,0.1189985841380904,5.765970342130025,0.44018029063566555,0.005882839875391981,0.1189985841380903,5.801610968103272,0.4722000728714019,0.03201978223573637,-0.014541257410847424,0.017830033344235555,1.0000000000000089
LG03,LG,3,kolmogorov,strong,1750,0.03085236534807797,20.148839891107105,0.6824696662753457,0.01870024984531807,0.03085236534807796,20.31129897143977,0.6959666229998115,0.013496956724465825,-0.03506004671811642,0.03869099830187204,1.000000000000008
LG03,LG,3,von_karman,weak,1750,0.5787241345867721,1.7574059187853193,0.19843415262662445,0.0016030497366806328,0.5787241345867729,1.765024027643688,0.22366118164291096,0.025227029016286512,-0.0006597491151151734,0.0010185256600518512,1.000000000000009
LG03,LG,3,von_karman,moderate,1750,0.1325785550582832,5.610547809183182,0.4298621585166269,0.005065616926305562,0.13257855505828312,5.635969017786937,0.46234940416164594,0.032487245645019036,-0.0053184319559611195,0.007926658553208774,1.0000000000000089
LG03,LG,3,von_karman,strong,1750,0.03251111386672254,19.363499981344997,0.6746628226154355,0.015780907728669292,0.032511113866722494,19.473691069996867,0.6872354915133281,0.012572668897892547,-0.02839352085404643,0.03234334499614128,1.000000000000008
LG03,LG,3,modified_von_karman,weak,1750,0.5868052911498122,1.441757521285322,0.19465422643670677,0.0015898029015795217,0.5868052911498124,1.455741406228778,0.2207183626363362,0.02606413619962944,0.0004800637160156234,0.0011146248200325528,1.000000000000009
LG03,LG,3,modified_von_karman,moderate,1750,0.1363877283333409,4.581998260902133,0.42165443618527754,0.00502367969476404,0.13638772833334073,4.624760023779141,0.4538946626740525,0.03224022648877495,-0.00918746989576673,0.010351667332409638,1.0000000000000089
LG03,LG,3,modified_von_karman,strong,1750,0.03430832897408705,15.58794885543482,0.6516521419543183,0.015883809629619484,0.034308328974087046,15.744763062179569,0.6660301559511715,0.014378013996853234,-0.030223204026787187,0.03710354593342005,1.0000000000000082
