parameterization,ell,kr_bg_m-1,w0_bg_m,kr_w0_product,lg_initial_r_rms_m,bg_initial_r_rms_m,initial_matching_error_percent,lg_final_r_rms_m,bg_final_r_rms_m,lg_growth_percent,bg_growth_percent,max_abs_relative_difference_percent,median_relative_difference_percent,lg_kperp_rms_rad_m,bg_kperp_rms_rad_m,kperp_relative_difference_percent,lg_theta_rms_rad,bg_theta_rms_rad,theta_relative_difference_percent
fixed_kr_adjust_w0,9,150.0,0.033787411976712256,5.068111796506838,0.05590169943749474,0.055901403607293496,-0.0005291971518257369,0.05873313467224152,0.05874075189097091,5.065025327025495,5.079207498301458,0.012969201749400666,0.003101807926505231,178.88543819998316,179.14095513340143,0.14283830813138926,1.8016133498975585e-05,1.8041867439256213e-05,0.14283830813138415
fixed_kr_adjust_w0,10,150.0,0.03222577279823271,4.833865919734906,0.058630196997792865,0.05862864766413858,-0.002642552359733,0.0615998308587248,0.06160236669996309,5.065024531716529,5.072126263017058,0.004116636690298784,-0.0008244074670197723,187.6166303929372,187.74640899512661,0.06917222738603442,1.889548022354027e-05,1.890855064808618e-05,0.06917222738602975
fixed_kr_adjust_w0,11,150.0,0.031153907604223416,4.6730861406335125,0.06123724356957945,0.06123904449051821,0.002940891578035746,0.06433892472087276,0.06434257241178291,5.065024110317915,5.067890831878071,0.005669493119418813,0.003674843506847938,195.95917942265424,196.02176548957226,0.031938318532671005,1.973568543282681e-05,1.9741988678904953e-05,0.03193831853267728
fixed_kr_adjust_w0,12,150.0,0.030363983435650464,4.554597515347569,0.06373774391990981,0.06373751547064342,-0.00035842069760098737,0.06696607599934691,0.06696713104141896,5.065024082894562,5.0670559511580855,0.0015754873737327379,0.00016176937583915808,203.96078054371137,204.0019685620952,0.02019408744858847,2.0541552670837306e-05,2.0545700849946953e-05,0.020194087448588634
fixed_kr_adjust_w0,13,150.0,0.02976008483536954,4.464012725305431,0.06614378277661477,0.06614411405917174,0.0005008521482494503,0.0694939814853466,0.0694950496798727,5.065024357688087,5.066113090128103,0.0015371036502229475,0.0007795861720274696,211.66010488516721,211.68447490606584,0.011513752632718047,2.131697663258264e-05,2.131943101654089e-05,0.011513752632713935
fixed_kr_adjust_w0,14,150.0,0.029282472927027268,4.39237093905409,0.06846531968814577,0.06846791594039704,0.0037920691279829766,0.07193310510029098,0.07193583712962628,5.065024786184745,5.0650310318312455,0.003798013906801743,0.00379366816635718,219.08902300206645,219.09746904770486,0.0038550747648951047,2.2065167105176555e-05,2.2066017733865458e-05,0.003855074764889637
fixed_kr_adjust_w0,15,150.0,0.028890856870342645,4.333628530551397,0.07071067811865475,0.07070985978120195,-0.0011573039243496848,0.07429219179866092,0.07429184767935726,5.0650252200895,5.065754492003069,0.0011573039243496848,-0.0009706012382935755,226.2741699796952,226.28824162953134,0.006218849388516989,2.278880659456867e-05,2.2790223796128226e-05,0.0062188493885161275
fixed_kr_adjust_w0,16,150.0,0.028566440294493924,4.284966044174088,0.07288689868556626,0.07288403119178287,-0.003934169014054431,0.0765786387288335,0.0765764426310039,5.065025553074202,5.066146011469957,0.003934169014054431,-0.0036473252948505345,233.23807579381202,233.2553314566845,0.007398304420818781,2.3490164167794732e-05,2.3491902041648813e-05,0.007398304420808293
fixed_kr_adjust_w0,17,150.0,0.02829619138442255,4.244428707663383,0.075,0.07500233174754237,0.003108996723159378,0.07879876930374437,0.07880093909084118,5.0650257383258275,5.0646523311900715,0.003108996723159378,0.003013396137174223,239.99999999999997,239.9983951761689,-0.0006686765962745275,2.4171179517252327e-05,2.417101789023185e-05,-0.0006686765962789371
fixed_kr_adjust_w0,18,150.0,0.028062200727765368,4.209330109164805,0.0770551750371122,0.07705676342352964,0.002061362415530832,0.08095803951979198,0.08095952835073858,5.065025782888735,5.064792178926646,0.002061362415530832,0.0020015551691271263,246.57656011875906,246.57581573646428,-0.00030188688431087904,2.4833526247404527e-05,2.4833451278245876e-05,-0.0003018868843049227
