parameterization,ell,z_m,kr_bg_m-1,w0_bg_m,lg_r_rms_m,bg_r_rms_m,relative_difference_percent
fixed_w0_adjust_kr,7,937.5,149.03178640015554,0.04,0.05223237606697871,0.052276453474593906,0.08438713865644108
fixed_w0_adjust_kr,7,1000.0,149.03178640015554,0.04,0.05253251362119222,0.052582375357394705,0.09491595350269197
fixed_w0_adjust_kr,8,0.0,157.85782732329,0.04,0.05303300858899107,0.053033008727103995,2.604282267779986e-07
fixed_w0_adjust_kr,8,62.5,157.85782732329,0.04,0.05304376594559601,0.05304395791274477,0.0003619033176440627
fixed_w0_adjust_kr,8,125.0,157.85782732329,0.04,0.05307602493371828,0.05307679191745569,0.0014450662768510972
fixed_w0_adjust_kr,8,187.5,157.85782732329,0.04,0.053129746350093654,0.05313147012066439,0.003244454734219276
fixed_w0_adjust_kr,8,250.0,157.85782732329,0.04,0.053204865294996614,0.05320792532178166,0.005751404064419918
fixed_w0_adjust_kr,8,312.5,157.85782732329,0.04,0.05330129108628536,0.053306063527949914,0.008953707438017822
fixed_w0_adjust_kr,8,375.0,157.85782732329,0.04,0.05341890853341306,0.05342576555169745,0.012836312969788271
fixed_w0_adjust_kr,8,437.5,157.85782732329,0.04,0.05355757787352821,0.053566886555662385,0.01738070036728837
fixed_w0_adjust_kr,8,500.0,157.85782732329,0.04,0.05371713659750427,0.0537292585491918,0.02256626554456816
fixed_w0_adjust_kr,8,562.5,157.85782732329,0.04,0.05389739822389798,0.05391268820858722,0.028368687901626853
fixed_w0_adjust_kr,8,625.0,157.85782732329,0.04,0.05409815639982263,0.05411696214160626,0.034762260001327726
fixed_w0_adjust_kr,8,687.5,157.85782732329,0.04,0.05431918391775556,0.05434184550558738,0.04171930834993759
fixed_w0_adjust_kr,8,750.0,157.85782732329,0.04,0.05456023419675313,0.054587083226643025,0.049209887540212015
fixed_w0_adjust_kr,8,812.5,157.85782732329,0.04,0.05482104385462731,0.05485240308334463,0.057202903323904146
fixed_w0_adjust_kr,8,875.0,157.85782732329,0.04,0.05510133020822723,0.055137512612752924,0.06566521060192292
fixed_w0_adjust_kr,8,937.5,157.85782732329,0.04,0.055400800603337796,0.055442110365459776,0.07456528005389702
fixed_w0_adjust_kr,8,1000.0,157.85782732329,0.04,0.05571914443833085,0.05576587534537746,0.08386867299862133
